publish_date,publication,headline_text
20221105,cnn,For hundreds of years this mirror had a secret hiding in plain sight
20221105,cnn,Boston Bruins president apologizes and says team 'failed' by signing controversial prospect
20221105,cnn,Review: 'Say Hey Willie Mays!' is a golden gift to baseball fans that makes one error
20221105,cnn,Iranian football federation says players who protested during international tournament will be 'dealt with'
20221105,cnn,Tiger Woods and Rory McIlroy to face Justin Thomas and Jordan Spieth in latest edition of 'The Match'
20221105,cnn,Coy Gibbs co-owner of NASCAR's Joe Gibbs Racing dies at 49
20221105,cnn,What our collective Powerball escapism can tell us about the US economy
20221105,cnn,Powerball used to have a jackpot limit. Then it exploded
20221105,cnn,Today's Powerball jackpot is expected to hit a record $1.9 billion
20221105,cnn,Permanent Daylight Saving Time will hurt our health experts say
20221105,cnn,Study: Common dietary supplements don't help with heart health but these do
20221105,cnn,Hospitalizations for eating disorders grew in the pandemic. The problem isn't over experts say
20221105,cnn,More adolescent e-cigarette users report vaping within five minutes of waking up new study finds
20221105,cnn,Kids' average daily screen use increased by more than an hour and twenty minutes during the pandemic analysis finds
20221105,cnn,Ketanji Brown Jackson issues her first written opinion as a Supreme Court justice -- a dissent
20221105,cnn,Supreme Court won't wade into dispute over prosecutor testifying at trial
20221105,cnn,Supreme Court rejects appeal from Air Force veteran in dispute over VA benefits
20221105,cnn,Supreme Court won't hear case of military widow who alleges her husband died of toxins exposure at Camp Lejeune
20221105,cnn,How to navigate intimidation and other obstacles to voting
20221105,cnn,Analysis: See how your votes aren't equal
20221105,cnn,Locks laws and bullet-resistant shields: Election officials boost security ahead of midterms
20221105,cnn,Tougher voting rules hit turnout efforts in key battleground states
20221105,cnn,Ballot measures in at least 8 states will set ground rules for future elections
20221105,cnn,The 10 Senate seats most likely to flip in 2022
20221105,cnn,Analysis: Here's a breakdown of the shifts we might see in six battleground states
20221105,cnn,How to tell if the GOP is heading for a landslide in the House
20221105,cnn,Democrats are facing stiff battles for governor in key states
20221105,cnn,The future of American elections could depend on five races
20221105,cnn,How 11 competitive attorney general races could shape policy battles over abortion elections and more
20221105,cnn,Aaron Carter remembered: Backstreet Boys and Melanie Martin pay tribute
20221105,cnn,Nick Carter shares his heartbreak over brother Aaron's death
20221105,cnn,He was a singer who first found fame as a boy with pop songs like 'I Want Candy'
20221105,cnn,Orthodox Church of Ukraine to allow Christmas on December 25 as rift with Moscow deepens
20221105,cnn,The benefits of composting human bodies
20221105,cnn,Carvana stock plummets as used car prices fall
20221105,cnn,Tyson Foods CFO arrested after entering wrong home falling asleep
20221105,cnn,Wall Street Journal: Meta is planning significant layoffs
20221105,cnn,Biden's stock market record so far is the second worst since Jimmy Carter
20221105,cnn,US consumers borrowed $25 billion more in September
20221105,cnn,Trump is already casting doubt on midterm results
20221105,cnn,Biden takes aim at GOP election deniers in the final stretch of campaign
20221105,cnn,Spread of election lies in Florida's Spanish-speaking communities is 'fracturing democratic institutions' advocates warn
20221105,cnn,Facts first: Your guide to the election deniers in midterm races
20221105,cnn,More than half of Republican Senate nominees have rejected cast doubt upon or tried to overturn the 2020 election results
20221105,cnn,Twitter delays $8 'blue check' plan until after the midterms as celebrities troll Elon Musk
20221105,cnn,Opinion: Why I'm done with Twitter
20221105,cnn,Twitter could be a new wild card for the midterms
20221105,cnn,What hotel star ratings actually mean today
20221105,cnn,Amy Schumer's 3-year-old son was hospitalized with RSV ahead of her return as 'SNL' host
20221105,cnn,Within an hour 3 separate shootings left 1 dead and 5 injured in Boston. Police are investigating whether the shootings are connected
20221105,cnn,What we know about Pieper Lewis and her escape from an Iowa residential corrections facility
20221105,cnn,Judge seals autopsy reports of Uvalde mass shooting victims
20221105,cnn,Visitors couldn't find their relatives' graves in a cemetery then over 800 headstones were found
20221105,cnn,Wells run dry in worst drought in 100 years as foreign-owned farms take water
20221105,cnn,North Korea blames 'reckless military hysteria' of US and allies for missile tests
20221105,cnn,Ex-Pakistan PM Imran Khan says three bullets were taken from his right leg
20221105,cnn9 dead after commercial flight crashes into Lake Victoria in Tanzania
20221105,cnn,Analysis: An election rule change led to Netanyahu's win
20221105,cnn,Iranian lawmakers demand 'no leniency' for protesters as mass demonstrations continue
20221105,cnn,Britons given extra day's holiday to celebrate King's coronation
20221105,cnn,Is turkey too expensive for your budget this year? Try some affordable (and fun) alternatives
20221105,cnn,Let's call out the Qatar World Cup for what it really is
20221105,cnn,He took 4 teams to the MLB Playoffs. The 5th time was the charm
20221105,cnn,The damage Kanye West is doing is devastating
20221105,cnn,Kari Lake a rising star? Not so fast
